codigo_ocorrencia,classificacao,tipo,localidade,uf,pais,aerodromo,dia_ocorrencia,horario,sera_investigada,comando_investigador,status_investigacao,numero_relatorio,relatorio_publicado,dia_publicacao,quantidade_recomendacoes,aeronaves_envolvidas,saida_pista,codigo_aeronave,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao,fator_area_FATOR HUMANO,fator_area_FATOR MATERIAL,fator_area_FATOR OPERACIONAL,fator_area_OUTRO
47965,ACIDENTE,FALHA DO MOTOR EM VOO,ARIQUEMES,RO,BRASIL,SJOG,2013-05-05,11:00:00,N/A,SERIPA-7,INATIVA,0,0.0,,0,1,0.0,14154,PUAUN,3992,ULTRALEVE,ORION LTDA,F1A EAGLE,PISTÃO,1.0,450,2.0,2005-01-01,BRASIL,PET,EXPERIMENTAL,N/A,N/A,CIRCUITO DE TRÁFEGO,EXPERIMENTAL,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,0.0,0.0
50313,INCIDENTE GRAVE,POUSO SEM TREM,CACOAL,RO,BRASIL,SSKW,2013-11-25,12:32:00,SIM,SERIPA-7,FINALIZADA,IG-209/CENIPA/2013,1.0,2014-04-07,0,1,0.0,15062,PTRDP,4368,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2.0,2073,7.0,1980-01-01,BRASIL,TPX,TÁXI AÉREO,SBJI,SSKW,POUSO,TÁXI AÉREO,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,1.0,0.0
34078,ACIDENTE,PERDA DE CONTROLE NO SOLO,CEREJEIRAS,RO,BRASIL,N/A,2008-08-07,15:10:00,SIM,SERIPA-7,FINALIZADA,A - 517/CENIPA/2016,1.0,2016-07-07,0,1,1.0,3140,PPEHX,866,AVIÃO,EMBRAER,EMB-820C NAVAJO,PISTÃO,2.0,3175,8.0,1981-01-01,BRASIL,TPX,TÁXI AÉREO,SWKK,SWRL,CORRIDA APÓS POUSO,TÁXI AÉREO,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,1.0,0.0
44988,ACIDENTE,POUSO LONGO,AMAJARI,RR,BRASIL,N/A,2011-08-11,17:00:00,SIM,SERIPA-7,FINALIZADA,A-105/CENIPA/2012,1.0,2012-09-20,4,1,0.0,12615,PTXCG,4468,AVIÃO,CESSNA AIRCRAFT,U206G,PISTÃO,1.0,1633,6.0,1981-01-01,BRASIL,TPX,TÁXI AÉREO,N/A,N/A,CORRIDA APÓS POUSO,TÁXI AÉREO,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,1.0,1.0
38855,ACIDENTE,PERDA DE CONTROLE EM VOO,ACEGUÁ,RS,BRASIL,N/A,2009-12-28,17:30:00,SIM,SERIPA-5,ATIVA,A DEFINIR,0.0,,0,1,0.0,10479,PRSUB,345,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,1.0,1812,1.0,1973-01-01,BRASIL,SAE,ESPECIALIZADA,N/A,N/A,DECOLAGEM,ESPECIALIZADA,SUBSTANCIAL,1.0,2016-07-30,1.0,0.0,1.0,0.0
46633,ACIDENTE,FALHA DO MOTOR EM VOO,ABADIA DE GOIÁS,GO,BRASIL,N/A,2012-11-15,12:40:00,N/A,SERIPA-6,INATIVA,0,0.0,,0,1,0.0,13405,PPZGV,3992,AVIÃO,IVAN MOLCHAN,GV-2,PISTÃO,1.0,430,2.0,1985-01-01,BRASIL,PET,EXPERIMENTAL,N/A,N/A,MANOBRA,EXPERIMENTAL,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,0.0,0.0
43063,ACIDENTE,PERDA DE CONTROLE EM VOO,ALTO ALEGRE,RR,BRASIL,N/A,2010-09-21,17:10:00,SIM,SERIPA-7,FINALIZADA,A-044/CENIPA/2012,1.0,2012-06-04,2,1,0.0,11484,PTHLD,3175,HELICÓPTERO,HELIBRAS,HB-350B,TURBOEIXO,1.0,1950,6.0,1980-01-01,BRASIL,TPX,TÁXI AÉREO,N/A,N/A,POUSO,TÁXI AÉREO,SUBSTANCIAL,0.0,2016-07-30,1.0,0.0,1.0,1.0
45280,ACIDENTE,FALHA DO MOTOR EM VOO,ALTO ALEGRE,RR,BRASIL,N/A,2011-11-22,16:40:00,SIM,SERIPA-1,FINALIZADA,A-038/CENIPA/2013,1.0,2013-08-22,2,1,0.0,1336,PTIOT,3984,AVIÃO,CESSNA AIRCRAFT,210L,PISTÃO,1.0,1724,6.0,1973-01-01,BRASIL,TPX,TÁXI AÉREO,N/A,N/A,CRUZEIRO,TÁXI AÉREO,DESTRUÍDA,1.0,2016-07-30,0.0,0.0,1.0,0.0
34515,ACIDENTE,FALHA DO MOTOR EM VOO,ALTO ALEGRE,RR,BRASIL,N/A,2008-11-16,12:25:00,SIM,SERIPA-7,FINALIZADA,A-566/CENIPA/2015,1.0,2016-03-18,3,1,0.0,4517,PTRVS,4468,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PISTÃO,1.0,1633,7.0,1986-01-01,BRASIL,TPX,TÁXI AÉREO,SBBV,SWUQ,CRUZEIRO,TÁXI AÉREO,SUBSTANCIAL,0.0,2016-07-30,0.0,0.0,1.0,0.0
45940,ACIDENTE,INDETERMINADA,ALTO ALEGRE,RR,BRASIL,N/A,2010-06-09,13:00:00,SIM,SERIPA-7,ATIVA,A DEFINIR,0.0,,0,1,0.0,13043,PTBIN,3992,AVIÃO,CESSNA AIRCRAFT,182C,PISTÃO,1.0,1202,4.0,,BRASIL,TPP,PARTICULAR,N/A,N/A,INDETERMINADA,PRIVADA,DESTRUÍDA,1.0,2016-07-30,0.0,0.0,0.0,0.0
