codigo_ocorrencia,fator_area_FATOR HUMANO,fator_area_FATOR MATERIAL,fator_area_FATOR OPERACIONAL,fator_area_OUTRO
28256,0,0,1,0
28335,0,0,1,0
28355,0,0,1,0
28375,0,0,1,1
28377,0,0,1,1
28379,1,0,1,0
28395,0,0,1,0
28437,0,0,1,1
28455,1,0,1,0
28475,0,0,1,0
28575,0,0,1,0
28617,1,0,1,1
28636,0,0,1,1
28735,0,0,1,0
28775,0,0,1,0
28795,0,0,1,0
28815,1,0,1,0
28915,1,0,1,1
28935,1,0,1,0
28955,1,0,1,0
29095,0,0,1,0
29159,0,0,1,0
29161,0,0,1,0
29175,0,0,1,0
29195,0,0,1,1
29215,0,0,1,1
29216,1,0,1,0
29218,0,0,1,0
29255,1,0,1,0
29535,0,0,1,1
29555,0,0,1,1
29618,1,0,1,0
29655,1,0,1,0
29735,0,0,0,1
29736,0,0,1,1
29796,0,0,1,0
29855,1,0,1,1
29858,0,0,1,1
29859,1,1,1,1
29860,0,0,1,0
29861,0,0,1,0
29915,1,0,1,0
29918,0,0,1,0
29936,1,0,1,0
29955,0,0,1,1
29995,0,0,1,0
30036,0,0,1,0
30037,0,0,1,0
30040,0,0,1,0
30041,0,0,1,1
30044,0,0,1,0
30045,0,0,1,0
30075,0,1,1,0
30179,0,0,0,1
30180,1,0,1,0
30181,1,0,1,0
30316,1,0,1,0
30417,1,0,1,0
30475,0,0,1,1
30535,1,0,1,0
30555,0,0,1,1
30556,0,1,1,0
30595,1,1,1,0
30636,0,0,1,0
30640,0,0,1,0
30655,1,0,1,0
30658,0,0,1,1
30677,0,0,1,0
30681,0,0,1,0
30896,0,0,1,0
31038,0,0,1,0
31077,0,0,1,0
31078,1,1,1,0
31079,0,0,1,1
31080,0,0,1,0
31081,1,1,1,0
31128,1,0,1,0
31129,1,0,1,0
31197,0,0,1,0
31275,0,0,1,0
31276,1,0,1,0
31277,0,0,1,1
31278,0,1,1,0
31335,0,0,1,0
31377,1,0,1,0
31379,1,1,1,0
31395,1,0,1,0
31396,1,1,1,0
31415,0,0,1,0
31455,0,0,1,0
31456,0,0,1,0
31475,1,0,1,0
31595,1,0,1,0
31675,0,0,1,1
31676,1,0,1,0
31715,0,1,1,0
31855,1,0,1,1
31856,0,0,1,0
31857,0,0,1,1
31858,0,1,1,0
31861,1,0,0,1
31863,1,0,1,0
31864,1,0,1,1
31865,0,0,1,0
31866,0,0,1,1
31867,1,0,1,1
31868,0,0,1,0
31869,0,0,1,0
31871,0,0,1,1
31875,0,0,1,0
31975,0,0,1,0
31995,0,0,1,0
32035,1,0,1,0
32036,0,0,1,0
32055,0,0,1,1
32076,1,0,1,1
32155,1,0,1,0
32156,0,0,1,0
32195,0,0,1,1
32196,1,0,1,0
32284,1,0,1,0
32355,1,0,1,0
32375,1,1,1,0
32376,0,0,1,0
32377,1,0,1,0
32379,1,0,1,1
32478,1,0,1,0
32615,0,1,1,0
32641,0,0,1,0
32642,0,0,1,1
32655,0,0,1,0
32675,0,0,1,0
32676,1,0,1,1
32916,1,0,1,1
33024,0,0,1,0
33035,0,0,1,0
33077,0,0,1,0
33218,0,0,1,1
33219,1,0,1,1
33221,0,0,1,0
33223,0,0,1,0
33275,0,0,1,0
33278,0,0,1,0
33315,1,0,1,0
33335,0,1,1,0
33378,0,0,1,0
33480,0,0,1,0
33835,0,0,1,0
33836,0,0,1,0
33856,0,0,0,1
33918,1,0,1,0
34016,1,0,1,0
34037,0,0,1,0
34040,0,0,1,0
34075,1,0,1,0
34076,0,0,1,0
34077,0,0,1,1
34078,0,0,1,0
34079,0,0,1,0
34080,0,0,1,0
34082,1,0,1,0
34083,1,0,1,0
34095,0,0,1,1
34257,0,0,1,0
34340,0,0,1,0
34415,1,0,1,0
34416,0,0,1,0
34495,0,0,1,0
34496,0,0,1,0
34497,0,0,1,1
34498,0,0,1,0
34500,0,0,1,0
